CBS,Naam,Prov,Suppletie nieuwe verdeling GF,Beschermd wonen,Participatie,Voogdij/18+,aanpak laaggeletterdheid,armoedebestrijding kinderen,beeldende kunst en vormgeving,BRP: Centralisering Inschrijving Vergunninghouders,experiment gesloten coffeeshopketen,extra capaciteit BOA's,jeugd,jeugdhulp aan kinderen in een AZC,knelpunten verdeelproblematiek,maatschappelijke opvang,personen met verward gedrag,slavernijverleden,Uitstapprogramma prostituees,veiligheidshuizen,vergunningverlening, toezicht en handhaving,versterking arbeidsmarktregio's,versterking omgevingsveiligheidsdiensten,voorschoolse voorziening peuters,vrouwenopvang
193,Zwolle,4,-560918,64382871,12923882,0,166634,626949,150000,0,0,52490,207412,0,0,10026382,280028,0,90347,215600,400817,398593,26000,217022,6075672
197,Aalten,5,-2099178,0,6134021,0,0,77188,0,0,0,33387,0,0,0,0,0,0,0,0,37455,0,5000,46683,0
200,Apeldoorn,5,-1048729,41442626,19171503,0,191709,721949,150000,0,0,58988,75177,61602,0,4220128,413041,0,127395,318010,179492,398593,30000,263422,5624009
202,Arnhem,5,-9901569,64395975,27321224,90000,178766,1181568,374923,663610,162500,58550,565178,140586,0,8487781,362036,0,122569,278740,226675,398593,29000,303260,7995607
203,Barneveld,5,255681,0,2510516,0,0,160583,0,0,0,39500,0,0,0,0,0,0,0,0,81720,0,12000,107089,0
1945,Berg en Dal,5,290844,0,3730727,0,0,118481,0,0,0,34854,0,0,0,0,0,0,0,0,148847,0,5000,59050,0
1859,Berkelland,5,-2417515,0,5717478,0,0,134404,0,0,0,36497,0,0,0,0,0,0,0,0,173168,0,7000,81055,0
209,Beuningen,5,930268,0,2611277,0,0,86904,0,0,0,33208,0,0,0,0,0,0,0,0,129876,0,7000,42717,0
1876,Bronckhorst,5,-870805,0,4094053,0,0,85015,0,0,0,35054,0,0,0,0,0,0,0,0,128903,0,8000,67913,0
213,Brummen,5,506231,0,1955230,0,0,61534,0,0,0,32227,0,4190,0,0,0,0,0,0,37941,0,4000,34405,0
214,Buren,5,-1056772,0,1838494,0,0,85284,0,0,0,33366,0,0,0,0,0,0,0,0,158576,0,3000,54791,0
216,Culemborg,5,748948,0,3367942,0,0,114702,0,0,0,33759,0,0,0,0,0,0,0,0,68586,0,3000,46343,0
221,Doesburg,5,1540129,0,1368565,0,0,58835,0,0,0,30401,0,0,0,0,0,0,0,0,20430,0,1000,19770,0
222,Doetinchem,5,1411059,26698946,8204471,0,143161,283112,0,0,0,39180,0,0,0,3756199,0,0,0,0,143983,398593,8000,92387,0
225,Druten,5,2208259,0,2009312,0,0,68012,0,0,0,31875,0,0,0,0,0,0,0,0,152738,0,3000,31459,0
226,Duiven,5,462676,0,1825070,0,0,89333,0,0,0,33005,0,793,0,0,0,0,0,0,63236,0,9000,44503,0
228,Ede,5,-136006,22686422,8037417,0,146979,398354,150000,0,0,50387,58600,31650,0,3450481,0,0,0,0,314719,398593,19000,200532,2949277
230,Elburg,5,1507645,0,3213892,0,0,79887,0,0,0,32700,0,0,0,0,0,0,0,0,27240,0,5000,40500,0
232,Epe,5,0,0,3958811,0,0,116322,0,0,0,34517,0,0,0,0,0,0,0,0,72964,0,3000,53794,0
233,Ermelo,5,3927319,0,3296451,0,0,77728,0,0,0,33367,0,0,0,0,0,0,0,0,53994,0,7000,42848,0
243,Harderwijk,5,1104611,0,4725237,0,0,211052,0,0,0,37405,0,109955,0,0,0,0,0,0,175114,0,11000,74728,0
244,Hattem,5,-672561,0,705622,0,0,30767,0,0,0,30617,0,0,0,0,0,0,0,0,43779,0,4000,18372,0
246,Heerde,5,1407514,0,2093785,0,0,47500,0,0,0,31835,0,0,0,0,0,0,0,0,56912,0,3000,31238,0
252,Heumen,5,624713,0,1296131,0,0,42102,0,0,0,31424,0,0,0,0,0,0,0,0,90476,0,4000,27327,0
1705,Lingewaard,5,2301133,0,3668427,0,0,133055,0,0,0,37051,0,0,0,0,0,0,0,0,160035,0,8000,68419,0
262,Lochem,5,-1195744,0,2535501,0,0,98779,0,0,0,34657,0,0,0,0,0,0,0,0,123066,0,10000,59472,0
263,Maasdriel,5,-1280780,0,1619814,0,0,84205,0,0,0,33076,0,0,0,0,0,0,0,0,62749,0,5000,44993,0
1955,Montferland,5,-1067665,0,4179683,0,0,116861,0,0,0,35044,0,0,0,0,0,0,0,0,22376,0,8000,57678,0
1740,Neder-Betuwe,5,0,0,1159186,0,0,79617,0,0,0,32927,0,0,0,0,0,0,0,0,119661,0,5000,47525,0
267,Nijkerk,5,1515187,0,1894772,0,0,125768,0,0,0,36452,0,0,0,0,0,0,0,0,142523,0,12000,67873,0
268,Nijmegen,5,-28015761,54282489,22077789,1649357,159668,1020175,150000,0,196250,61327,605273,140643,0,10164693,284028,0,88678,218680,410545,398593,34000,311853,5963102
302,Nunspeet,5,-199666,0,3552107,0,0,72870,0,0,0,33554,0,2265,0,0,0,0,0,0,74423,0,6000,52909,0
269,Oldebroek,5,-396108,0,1991715,0,0,63424,0,0,0,32762,0,0,0,0,0,0,0,0,32104,0,7000,42458,0
1586,Oost Gelre,5,-236367,0,5678849,0,0,68282,0,0,0,33843,0,0,0,0,0,0,0,0,125985,0,7000,48142,0
1509,Oude IJsselstreek,5,-3082013,0,4774598,0,0,166790,0,0,0,35660,0,0,0,0,0,0,0,0,130363,0,5000,66730,0
1734,Overbetuwe,5,4191714,0,3428443,0,0,155455,0,0,0,37310,0,0,0,0,0,0,0,0,121121,0,13000,82006,0
273,Putten,5,-403576,0,1939339,0,0,74219,0,0,0,32874,0,2548,0,0,0,0,0,0,121121,0,8000,39991,0
274,Renkum,5,1480758,0,2071984,0,0,117941,0,0,0,34186,0,0,0,0,0,0,0,0,65668,0,4000,48346,0
275,Rheden,5,3366096,0,5918973,0,0,231564,0,0,0,36438,0,0,0,0,0,0,0,0,106041,0,11000,70368,0
277,Rozendaal,5,-331159,0,58768,0,0,4318,0,0,0,28664,0,0,0,0,0,0,0,0,0,0,0,2839,0
279,Scherpenzeel,5,759671,0,182253,0,0,24290,0,0,0,30227,0,0,0,0,0,0,0,0,9242,0,1000,16219,0
281,Tiel,5,-668592,0,7745820,0,141369,231833,0,0,0,36139,0,0,0,0,0,0,0,0,286020,398593,13000,75994,0
285,Voorst,5,0,0,2064701,0,0,52088,0,0,0,32953,0,0,0,0,0,0,0,0,67613,0,7000,47055,0
289,Wageningen,5,-1214431,0,3494684,0,0,144660,0,0,0,35714,0,36067,0,0,0,0,0,0,23835,0,3000,52936,0
1960,West Betuwe,5,-228454,0,2986867,0,0,148708,0,0,0,37920,0,0,0,0,0,0,0,0,134741,0,15000,95749,0
668,West Maas en Waal,5,-1622740,0,1015754,0,0,59645,0,0,0,31985,0,0,0,0,0,0,0,0,140091,0,4000,35516,0
293,Westervoort,5,1960069,0,2456452,0,0,83935,0,0,0,31135,0,0,0,0,0,0,0,0,44265,0,2000,24716,0
296,Wijchen,5,-816188,0,3968238,0,0,143040,0,0,0,36017,0,0,0,0,0,0,0,0,145928,0,10000,68037,0
294,Winterswijk,5,-2680230,0,6062460,0,0,107955,0,0,0,33740,0,107464,0,0,0,0,0,0,230567,0,5000,51310,0
297,Zaltbommel,5,532792,0,2910264,0,0,95270,0,0,0,33819,0,0,0,0,0,0,0,0,220352,0,9000,52481,0
299,Zevenaar,5,-1247159,0,4421706,0,0,180825,0,0,0,36544,0,0,0,0,0,0,0,0,133767,0,10000,74448,0
301,Zutphen,5,4391592,0,9736582,0,0,290669,0,0,0,37290,0,75134,0,0,0,0,0,0,124039,0,10000,82255,0
307,Amersfoort,6,2480281,24409134,16596653,0,151844,766211,150000,0,0,57627,128380,105935,0,4357173,0,0,0,0,171709,398593,30000,263177,4444696
308,Baarn,6,3527359,0,824175,0,0,79887,0,0,0,32954,0,0,0,0,0,0,0,0,45238,0,7000,37599,0
312,Bunnik,6,1287722,0,409845,0,0,26719,0,0,0,31196,0,0,0,0,0,0,0,0,35509,0,3000,22723,0
313,Bunschoten,6,618113,0,1066589,0,0,60725,0,0,0,32438,0,0,0,0,0,0,0,0,52048,0,4000,32565,0
310,De Bilt,6,1783542,0,989865,0,0,156805,0,0,0,36411,0,0,0,0,0,0,0,0,35509,0,9000,68497,0
736,De Ronde Venen,6,-1644080,0,1602809,0,0,129276,0,0,0,36660,0,0,0,0,0,0,0,0,190680,0,8000,78118,0
317,Eemnes,6,893384,0,312791,0,0,25100,0,0,0,30084,0,0,0,0,0,0,0,0,79288,0,4000,15295,0
321,Houten,6,4813725,0,654809,0,0,142231,0,0,0,37683,0,0,0,0,0,0,0,0,62263,0,9000,85049,0
353,IJsselstein,6,3694840,0,2385955,0,0,141961,0,0,0,34633,0,0,0,0,0,0,0,0,41346,0,3000,54795,0
327,Leusden,6,2052411,0,1354921,0,0,75838,0,0,0,34023,0,0,0,0,0,0,0,0,58858,0,4000,43114,0
331,Lopik,6,-607088,0,779098,0,0,56676,0,0,0,31031,0,0,0,0,0,0,0,0,87557,0,2000,32972,0
335,Montfoort,6,-24586,0,455256,0,0,41023,0,0,0,30927,0,0,0,0,0,0,0,0,113824,0,1000,23800,0
356,Nieuwegein,6,3717243,0,2883155,0,0,289319,0,0,0,40221,0,0,0,0,0,0,0,0,151279,0,15000,89439,0
589,Oudewater,6,-353277,0,486732,0,0,35085,0,0,0,30228,0,0,0,0,0,0,0,0,77342,0,2000,16632,0
339,Renswoude,6,9428,0,246372,0,0,8906,0,0,0,29376,0,0,0,0,0,0,0,0,0,0,0,8853,0
